,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Universitas Sebelas Maret,34.7,35.6,33.7,41.5,1.2,39.2,80.9,1.1,42,51,33.8,51.2,100,6.8,32.9,38.7,42.6,100
Universitas Padjadjaran,71.8,75.8,30.3,46.4,4.8,19.1,41.3,3.7,28.9,22.7,20.1,32.2,58.9,0,25.7,70.1,25.4,44
Universidad Nacional de Cordoba,40.4,27.6,24.8,54.3,10,16.6,29.1,5.2,21.9,8.2,6.7,20.2,34.2,0,20.1,27.4,26.2,29.8
Universidad del Norte,48.7,79.9,55.3,31.1,0.5,60.6,39.2,0.1,45.7,55.1,43.3,63.1,77.1,9.9,83.3,35.3,25.2,99.2
Federal University of Viçosa,76.5,50.5,57,53.4,3,24.6,33.3,1.1,20.5,11.2,11.6,42,47.3,50.7,22.9,25.4,25.9,28.4
Mohammed V University of Rabat,89.7,87.5,27.5,37.7,0,33.1,40.6,2.5,29.7,38.5,31.9,54.5,35.5,78.8,49.9,25.4,48.9,33.3
University of Sfax,70.6,77,22.6,35.2,1.8,51.6,29.7,1.1,54.9,63.2,68.2,55.9,33.8,53.7,91.4,25.4,29.3,37.6
Khon Kaen University,48.3,58.6,35.6,32.6,0.4,22.7,41.5,0.1,36.5,25.1,24.3,39.1,83.5,14.9,43.3,77.9,29.6,74.4
Kangwon National University,36.1,50.5,68.2,35.5,0,43.5,42.5,0,43.5,42.2,45.3,49.3,37.4,50.3,33.4,25.4,30.2,31.9
University of Central Lancashire,33.9,30,33.2,58.1,1.8,29.5,34.9,3.1,44.4,53.7,62.2,60.8,35.1,21.5,40.3,47.9,60,32.3
Obafemi Awolowo University (OAU),50.7,55.6,25.8,35.2,3.1,36.1,30.5,0.6,30.3,43.1,23,62,37.3,5.9,54,25.4,24.2,28.4
Marmara University,82.8,95.9,80.5,23.1,6.3,19.2,32.7,4.2,29.3,20.4,29.8,33,37.2,12.2,14.8,31.4,39.8,48.6
University of Tunis El Manar
Vietnam National University - Ho Chi Minh City (VNU-HCM),28,25.2,28.5,32.8,5.1,19.2,32.9,3.3,42.9,31.1,59.7,22.6,39.3,19.5,76.8,44.3,30.2,28.7
Universidade Federal de São Carlos,100,99.9,47.9,27.4,3.9,79.3,65.4,2.3,22.9,48,9.4,83.7,33.8,15,19.9,40.4,27.4,50.6
Tamkang University,47.5,35.8,28,82.1,0.4,21.2,31.8,0.2,24.9,19.7,18.4,33.6,35.3,79.2,24.1,35.4,74.3,43
Kaunas University of Technology,67.9,32.2,27.4,99.9,0.6,39.7,37.9,0.4,53,43.7,34.9,60,34.9,6.5,32,42.4,49.3,93.8
Rowan University,27.7,24.8,65.4,64,1.8,23.3,29.3,1.7,38.5,35.4,42.5,37.1,33.8,24.6,6.9,45.8,28.8,34.2
Chungbuk National University
Beijing Jiaotong University
University of Calcutta
Chapman University
