,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Canterbury Christ Church University,39.1,37.1,33.9,41.6,0,34.2,27.6,0.8,28.3,35,15.7,62.6,57.5
Ege University,43.7,40.9,39.4,31.3,2.7,20.4,41.2,1.3,15.7,40.3,16.8,22.3,22.5
Universidade Federal de São Carlos,63.7,58,32.3,46.9,6,42.9,34.5,3.3,20.8,41.6,28.3,26.8,21.8
Universidad Nacional de Cordoba,37.9,20.2,19.9,39.4,5,12.3,27.1,4,22.7,35.6,58.7,24.4,21.5
Tamkang University,36.3,23.3,30,33.8,3.7,27.5,30.4,1.4,17.5,35.7,33.3,33.3,40.3
Marmara University,39.1,36,27.9,27,1.9,17.5,27.2,1.1,22.3,36.6,17,29.9,27.9
De La Salle University,38.3,32.5,27.8,45.7,1.4,26.6,34.6,1.2,21.8,34.8,28,24.5,25.4
Universidade Estadual de Londrina,46.6,47.1,27.9,49.5,1.6,15.8,48.5,1,15.3,53.1,16.8,24.1,19.3
University of Lethbridge,36.3,22.7,43.3,52.8,1,34.5,30.5,0.1,19.8,34.8,67.4,49.6,49
Universidad Austral de Chile,37.9,22.5,30,40.9,1.1,27.6,38.7,0.9,24.9,45.8,90.9,42,22.3
Makerere University,36,22.7,47.8,35.3,4.6,26.7,75.3,3.1,48,52.3,99.4,47.5,24.6
Chapman University,61.2,100,70.1,52.9,0.6,32.9,30.8,0.2,38.7,35.1,47.6,38.4,38.1
Chungbuk National University,41.9,34.5,25.8,49.2,0.8,31.7,54.1,1.2,19.4,41,17.4,28.3,34.2
University of Tunis El Manar,59.8,47.6,16.6,70.2,0.4,23.6,28.7,1.9,24.1,35,74.7,27.5,21.6
Kharazmi University,69.7,80.5,21.1,45.5,0.4,29.6,30.6,0,19.9,36,17.3,21.5,23.6
Federal University of Viçosa,56.3,44.9,40.8,45.7,5.1,27.7,33.1,4.2,16.8,46.3,16.9,24.7,20.7
Universidad del Norte,36.4,23.5,37.7,38.2,0.3,28.4,29.8,0.5,19.6,38.4,86.5,47.1,23.1
University of Antioquia,38.5,26.1,59.5,36.1,0.9,20.3,88.4,1.3,22.3,76.6,64.2,29.5,19.1
University of Pecs,80.8,72,42.6,57.8,1,21.9,32,1.2,39.1,36.8,58.4,25.1,85.9
Universidade Federal da Bahia,69.6,43,30.4,41.4,3.1,17.3,49,1.7,22.7,35.1,23.4,28.9,18.8
University of Central Lancashire,37.9,25.5,31.4,50.8,1.7,37.4,28,0.9,45.4,35.2,69.3,57.5,77.5
Worldwide: Top*,70.7,100,100,83.4,17.9,100,90.7,14.7,100,68.3,99.7,100,100
Worldwide: 75%,51.2,59.8,59.1,54.6,7.6,69.3,54.2,6.2,70.9,48.9,79.3,62.2,66.6
Worldwide: Median,42.3,37.5,38.5,43.8,2.3,38.1,35.8,1.7,46.2,39.5,45.7,34.1,36
Worldwide: 25%,38.3,27.1,28,35.4,0.8,22.1,29.7,0.5,23.2,35.9,21.2,25.3,23.2
Worldwide: Bottom*,35.2,17.8,15.1,17.6,0,10.3,26.2,0,0.7,34.8,1.4,21.5,18
