,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Pusan National University,0.1,0.46,968911,16.9,37.7,16.1,316496,52.6,0.99,45.72,1.18,88.76,42709,79.68,27.8%,6%,9.8%,0.01
Universitas Padjadjaran,0.1,0.18,101206,11.3,14.4,1.3,26285,19.6,0.81,6.8,0.9,39.79,10991,0.86,22.1%,11%,1.4%,0.01
University of Sfax,0.17,0.3,11835,12.6,23.9,4.4,1668,18.9,0.99,21.15,1.14,73.71,667,6.57,57.3%,0.3%,2.5%,0.01
Khon Kaen University,0.04,0.13,366836,17.2,20.9,4.2,44978,29.1,1,16.76,1.1,61.62,19076,7.59,35.8%,5.2%,2.1%,0.03
Canterbury Christ Church University,0.02,0.12,395427,20.1,4.4,2.6,5440,3.9,1.21,7.74,1.44,53.24,333,0.42,31.8%,16.4%,14.6%,-
Universidad Nacional de Educacion a Distancia,0.05,0.29,299068,67.5,19.9,4.2,6843,22.3,0.96,12.88,1.08,82.46,2126,5.16,29.5%,1.8%,3.9%,0
Ege University,0.13,0.48,723445,20.3,9,4.3,92977,17.8,0.94,15.16,1,62.33,66214,11.41,25.3%,0.7%,3.7%,0.02
Universidade Federal de São Carlos,0.26,0.29,236646,16.1,44.5,6.5,39174,45.8,0.86,19.19,1.07,75.57,12187,13.57,32.4%,2.2%,1%,0
Universidad Nacional de Cordoba,0.03,0.02,54084,16.9,30.1,0.4,1412,31.6,0.94,3.58,0.99,27.13,890,3.64,45.6%,1.2%,1.3%,0
Tamkang University,0.01,0.05,228627,22.5,7.4,2.5,26846,9.6,1.08,8.62,1.13,49.63,3437,7.97,43%,5.7%,7.3%,0
De La Salle University,0.03,0.03,236035,14.5,17.4,2.3,11651,16.5,0.98,8.96,1.09,53.43,0,0.51,31.7%,1.3%,2.5%,0
Marmara University,0.03,0.11,245970,30.6,9.3,2.2,21560,15.7,1.01,12.82,1.13,47.37,4691,7.53,27.6%,2.7%,5.4%,0.01
Makerere University,0.01,0.07,245,19.2,24.4,2.1,107,39.7,1.2,10.47,1.22,40.1,23,3.84,76.2%,16.9%,3%,0.01
Universidade Estadual de Londrina,0.11,0.17,180693,10.9,10.9,2.8,76383,11.2,0.76,7.76,0.93,48.62,21292,3.94,25.2%,1%,0.8%,0
University of Lethbridge,0.01,0.03,378220,13.4,3.4,3.6,20066,4.9,1.04,9.22,1.19,50.98,256,6.92,46.1%,13.3%,11.6%,-
Chapman University,0.2,0.47,753464,12,14.1,3.1,20228,12,1.26,10.54,1.46,47.02,740,3.04,39.9%,3.3%,6.8%,0
University of Tunis El Manar,0.31,0.55,125435,9.6,32.8,5,66541,27.8,0.93,15.77,0.86,68.5,35429,10.82,51.8%,7.1%,5.8%,0.05
Chungbuk National University,0.07,0.18,358786,14,7.2,5.6,114688,5.8,0.95,15.5,1.07,57.41,10807,28.96,28%,3.5%,5.2%,0
Universidad Austral de Chile,0.02,0.03,210956,16.4,7.2,3.1,45492,7.5,0.98,9.96,1.17,47.9,18547,3.83,60.3%,6.9%,1.2%,0
Universidad del Norte,0.02,0.06,329257,17.3,0.8,2.7,14774,1.1,0.88,6.53,1.07,44.03,8394,2.01,52.6%,10.1%,0.4%,0.09
Kharazmi University,0.31,0.38,66425,16.8,9.8,4.6,8141,2.2,1.03,14.29,1.27,47.6,1086,3.06,32%,0%,3.1%,0
Federal University of Viçosa,0.19,0.12,236857,9.7,31.2,3.5,33466,36.3,0.78,11.25,0.97,54.47,10460,4.97,26.8%,1.3%,1.5%,0
University of Antioquia,0.02,0.05,457258,21.1,14.6,2.7,113972,19.1,0.99,12.45,1.06,53.65,20095,8.12,46.7%,3.3%,0.2%,-
University of Central Lancashire,0.01,0.04,289342,16.3,9.1,2.9,8209,17.1,1.29,14.34,1.44,60.98,681,6.75,51.1%,15.8%,28%,-
University of Pecs,0.44,0.53,807093,13.7,14.1,3.8,48345,17,0.98,12.39,1.05,54.65,3634,19.19,42.6%,3%,24.3%,0.01
Universidade Federal da Bahia,0.12,0.23,205553,19.9,23.9,2.1,9878,42.5,0.98,9.6,0.94,50.49,-,4.74,29.6%,2.8%,0.3%,0
Worldwide: Top*,0.28,0.63,15376100,36.4,102.1,19,2580110,151.7,2.35,93.54,2.45,99.99,649215,102.91,89.7%,33.8%,33.4%,0.03
Worldwide: 75%,0.12,0.29,6388910,22.1,43.5,9.2,1066640,64.2,1.53,42.8,1.64,83.82,262627,42.68,53.5%,14.4%,14.5%,0.01
Worldwide: Median,0.05,0.14,1108140,16.3,12.1,5.2,176108,16.1,1.24,18.19,1.37,59.96,25063,8.13,39.9%,4.8%,5.9%,0
Worldwide: 25%,0.02,0.06,395579,12.3,4.1,2.7,37653,5.4,0.97,8.91,1.08,37.85,3842,1.91,28.8%,1.3%,1.9%,0
Worldwide: Bottom*,0,0,0,0.3,0,0.2,0,0,0.33,0.92,0.29,7.54,-5,0,6.4%,0%,0%,0
