,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Ege University,67,85,82.6,30.9,1.2,31.5,51.8,1.5,20.4,42,16.6,62.3,96.8,30.1,17.1,26.3,33.6,74.7
Universidade Federal de São Carlos,93.1,76.3,37.7,45.5,5.4,50.3,38.5,4.7,17.9,49.9,21.7,75.6,47.6,42,32.1,31,25.4,29.2
Universidad Nacional de Cordoba,35.2,23.8,21.7,42,5.8,13.5,28.9,3.7,21.1,13.6,15.7,27.1,32.2,6.6,57.4,27.7,26.2,32.2
Tamkang University,29.7,28.5,37,25.8,1.8,26.5,36.6,1.2,30.9,35.8,26.5,49.6,35.5,51.7,44.3,40.2,44.3,37.9
De La Salle University,36.8,23.7,37.7,53.7,2.5,28,34.9,1.5,22,45.1,23.5,53.4,31.1,3.6,29.7,28.1,30.1,29
Marmara University,34.5,44.4,38.7,15.8,1.3,22.3,35.2,1.3,27,36.6,26.5,47.4,37.2,16.6,20.6,32.1,39.3,51.9
Makerere University,29.5,35.2,91.1,33.9,3.9,21.4,99.9,3.6,43,33.6,34.6,40.1,99.3,5,99.2,74.2,31,72.3
Universidade Estadual de Londrina,60.7,57.3,32.4,78.7,1.5,26.7,54.8,1,11.1,23.5,12.3,48.6,60.3,9.3,19.6,27.3,24.8,34.3
University of Lethbridge,29.6,24,52.1,60.6,0.3,37.9,35.2,0.4,22.3,37.6,31.6,51,31.4,37.8,60.5,63.9,59.7,26.9
Chapman University,84,65.4,84.5,70.2,2.3,36.5,36.7,1.3,44.7,47.2,60,47,32,86.4,59.7,34.6,46,28.8
University of Tunis El Manar,97.2,96.2,27.5,87.6,4,39.7,56.8,2.7,20.4,48.4,8.8,68.5,77.7,21.3,69.4,43.5,38.6,100
Chungbuk National University,47,53.4,50.1,56.7,1,40.5,68.9,0.7,20.4,39.6,21.3,57.4,45.6,55.5,16.4,34.1,38.3,33.7
Universidad Austral de Chile,33.6,24.5,35.3,44.3,1.5,30.6,43.6,1,21.9,38.1,29.7,47.9,56.5,5.3,85.1,43.3,25.8,37.5
Universidad del Norte,32.3,31.5,47,40.3,0.1,33.3,34.6,0.3,19.8,30.8,21.7,44,42.3,5.7,80.1,54.7,23.6,100
Kharazmi University,97.4,91.7,22.7,42.5,1.1,40,31.4,0.5,27.1,54.1,40.6,47.6,32.5,17.5,32.1,24.6,31.7,28.9
Federal University of Viçosa,81.7,40.7,37.8,87.3,5.1,22.9,42.7,3.3,12.2,32.3,14.8,54.5,45.1,8.2,18.2,28.3,27.1,30.8
University of Antioquia,31.4,29.1,60.1,29,1.4,25.6,76.1,1.7,31.4,32.5,20.6,53.7,58.7,15.3,66,33.6,23.1,26.9
University of Central Lancashire,30.7,28,43,44.8,1,36.3,31.1,1.6,43.6,61.8,58,61,32,36.7,78.9,72.3,95.8,37.1
University of Pecs,99.8,79.5,87.6,58.5,2.3,35.8,45.3,1.7,21,41.5,20,54.7,35.8,28.2,42.9,31.9,88,54.9
Universidade Federal da Bahia,65.1,73.7,34.7,31.8,3.1,20.6,33.2,3.4,30.2,29,12.8,50.5,31.1,8.3,28.7,32.9,23.5,29.8
Worldwide: Top*,100,100,100,100,14,100,100,13.6,100,100,100,100,100,100,99.9,100,100,100
Worldwide: 75%,65.2,74.9,71.9,67.5,6,71.8,66.7,5.7,73.1,84.4,77.2,83.8,62.8,83.3,76.9,68.6,69.7,62.7
Worldwide: Median,42.1,47.1,46.2,44.5,1.7,39.9,40.9,1.5,47.2,55.1,51,60,39.7,32.4,49.2,38.4,41.2,36.5
Worldwide: 25%,33,30.6,32,26.8,0.6,23,32.1,0.5,23.8,30.5,22.6,37.9,32.9,6.3,22.4,28.2,28,29.8
Worldwide: Bottom*,26.8,17.2,17.9,3.3,0,8.8,11.6,0,0.6,2.5,0.2,7.5,31.1,0,1,24.6,22.6,25.6
